ID,Title,Description,DevelopmentCategory,AgeGroup,excerciseID
1,Rooting reflex,"{NAME} will turn {HISHER} head to the right, mouth open, ready to suck, if you gently stroke your {NAME}'s cheek near right side of {HISHER} mouth with your hand. {HESHE} would turn to the left if you stroke  the left side of {HISHER}mouth.",1,0,3284
2,Tonic neck reflex,"When {NAME}'s head is turned to the right side, {HESHE} automatically straightens the right arm while bending the left arm & Contrariwise. This is also known as the fencer's pose.",1,0,13
3,Step reflex - Automatic walking,"When you hold {NAME} & {HISHER} feet touch a hard surface, {HESHE} may imitate taking steps. Before posting on social media that your newborn is already walking, this movement is a reflex called automatic walking",1,1,74
4,Curls toes when foot is stroked,"{NAME} will flex {HISHER} foot & {HISHER} toes will curl, when you touch the sole of {NAME}'s foot",2,0,34
5,Opens & closes hands with outstretched arms ,{NAME} can outstretch {HISHER} arms while opening & closing {HISHER} hands,2,0,3
6,Brings hand to mouth,{NAME} can bring to {HISHER} hand to {HISHER} mouth,2,1,83
7,Grasps your finger when {HISHER} hand is stroked,{NAME} grasps your finger when you stroke {HISHER} hands,2,1,16
8,Reflexively grasps an object or finger,"{NAME} grasps an object or a finger when you place your finger or object in the palm of {HISHER} hand. While this feels intentional, this is actually demonstrates the Palmer grasp reflex.",2,0,19
9,Arms open outward when tilted back,"When {NAME} is startled (for example, by a loud noise) or abruptly moved, {HESHE} responds by throwing out {HISHER} arms & legs and curling them in again.  What you are witnessing is the Moro reflex.",2,0,16
10,Orients body in response to your voice,"{NAME} nestles {HISHER} body against you when you talk. Or if someone else is holding {HERHIM}, shifts towards your voice.",3,1,73
11,Changes behavior in response to you,"{NAME} behaves differently with you, than with other less familiar people in {HISHER} life. {HESHE} is beginning to recognize you by sound & smell.",3,1,94
12,Cries to get needs met,"{NAME} cries in order to let you know that something is not right. {HESHE} is hungry, tired, or uncomfortable. {HESHE} is uses one cry for everything right now.",4,0,25
13,Smile reflexively,"{NAME} smiles. It is a wonderful sight. But before you tell everyone how happy {HESHE} is, you should know this is a reflex at this stage.",4,0,22
14,Aware of being touched,{NAME} reacts to your touch.,5,0,33
15,Startles at loud sounds,{NAME} is startled when {HESHE} hears a loud sound such as car horn or vacuum cleaner. {HESHE} may also startle to everyday sounds that are not particularly loud at first like a door closing.,5,0,16
16,Looks at your face when held,{NAME} looks at your face when you hold {HERHIM}. Who knew you were so fascinating?!,5,1,95
